#{"t_start": 1689342172.6475909, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-252.528549,101,0.01748
-701.265663,80,0.399907
-407.082207,48,0.698981
-1525.222391,120,0.895585
-807.465674,62,1.347548
-1656.136195,119,1.603538
-1056.750341,99,2.079044
-862.186098,71,2.454082
-809.657743,69,2.688225
-1771.605573,123,2.907757
-1010.050845,85,3.274683
-740.1452,59,3.551847
-817.141784,65,3.737173
-1695.156827,122,3.950587
-1471.347673,110,4.319278
-1246.434658,95,4.65376
-781.639652,60,4.940426
-1471.346523,118,5.132166
-776.114155,84,5.485501
-779.005883,68,5.736989
-931.801485,79,5.947098
-772.022574,61,6.183167
-874.821667,83,6.374126
-895.656185,78,6.626496
-1252.348852,103,6.86712
-784.704127,65,7.190314
-800.841374,70,7.394009
-1744.599201,128,7.618425
-869.843243,75,8.001495
-1006.202302,83,8.233369
-1821.191022,127,8.494098
-1703.259533,121,8.879536
-1364.049806,112,9.24699
-1153.307486,93,9.589543
-1153.297289,95,9.877408
-2055.686539,137,10.184392
-1322.290395,102,10.601761
-802.270937,66,10.905381
-766.66371,56,11.109961
-1029.980945,92,11.286157
-1731.118608,125,11.576166
-843.036575,77,11.951893
-830.838296,68,12.188114
-869.295255,94,12.399478
-1234.062779,95,12.69367
-1138.430591,90,12.990428
-865.876106,76,13.268361
-778.586475,62,13.504821
-789.856763,61,13.692513
-813.992043,68,13.879537
-1852.981029,130,14.104208
-1661.676942,121,14.504029
-873.468542,74,14.864905
-753.302428,62,15.096782
-1464.309745,109,15.293365
-871.127718,76,15.623818
-1067.606996,113,15.862119
-808.054712,73,16.213687
-1624.286081,123,16.444698
-1210.037487,110,16.824288
-1244.86006,96,17.161502
-857.913802,76,17.450225
-853.782123,73,17.68175
-812.624467,64,17.903429
-1133.49578,107,18.108912
-819.836519,68,18.424418
-816.798293,66,18.634873
-1894.098826,131,18.847001
-749.598191,58,19.240136
-1214.585901,101,19.422268
-761.451911,57,19.725696
-1366.672951,104,19.90722
-799.488574,63,20.220417
-1486.593405,111,20.417209
-796.386247,67,20.751997
-1218.923498,94,20.959095
-1785.318784,127,21.251413
-1219.814015,103,21.635536
-969.112157,81,21.944232
-752.873162,63,22.193077
-731.304732,55,22.383717
-1140.15629,94,22.560469
-803.085814,66,22.840802
-958.158397,93,23.048681
-747.439273,57,23.322328
-1705.198127,124,23.508699
-764.538043,60,23.877882
-769.053656,60,24.063668
-1270.803046,95,24.251026
-1224.175496,94,24.538669
-823.45932,71,24.821275
-1279.846793,97,25.045228
-775.325263,67,25.33976
-733.205603,62,25.549697
-891.341086,79,25.742137
-1069.921014,100,25.984174
-1245.540601,99,26.289882
-1911.158297,132,26.631562
-732.359338,57,27.08546
-1009.43738,96,27.266677
-785.348516,68,27.555198
-1436.387431,117,27.770878
-1509.711634,118,28.130474
-1093.100627,94,28.501026
-1005.243684,84,28.825295
-1910.199442,138,29.132606
-699.752806,55,29.61619
-901.815397,77,29.803301
-873.056568,90,30.141143
-1463.130288,117,30.46587
-1649.836607,120,30.837422
-875.771117,75,31.211153
-778.089078,60,31.45167
-739.895103,55,31.634644
-828.343604,91,31.807939
-1596.156593,117,32.120962
-1263.631223,98,32.485005
-717.138809,61,32.778409
-899.665966,78,32.980033
-792.039187,86,33.226089
-1271.952026,102,33.49706
-719.876038,60,33.800642
-1379.775527,104,33.990143
-1087.52243,94,34.312354
-1271.196323,101,34.600335
-1217.226094,104,34.909796
-1575.700081,124,35.234908
-812.048928,68,35.600155
-1331.784662,101,35.811174
-914.786737,95,36.125829
-1259.385366,104,36.422314
-694.270826,56,36.738576
-808.030278,65,36.914102
-864.682776,73,37.114519
-1296.212061,106,37.33977
-1117.687255,89,37.659616
-1544.445645,115,37.936441
-738.400998,61,38.282969
-937.83484,80,38.478897
-1407.040112,106,38.726781
-959.74113,80,39.050479
-766.868783,66,39.298674
-1166.466302,112,39.512404
-1539.820267,113,39.855981
-1262.765518,94,40.195018
-783.981742,61,40.473467
-1411.017623,105,40.665876
-753.333914,61,40.977004
-1522.419924,115,41.173359
-756.203284,64,41.523651
-1021.018431,83,41.720185
-783.216534,64,41.970298
-1236.14508,99,42.169871
-703.188931,54,42.473712
-712.513313,59,42.643099
-958.407669,85,42.830227
-948.579491,81,43.08724
-907.656878,78,43.333908
-702.492193,57,43.565124
-1315.214764,104,43.745799
-955.437754,85,44.120491
-1729.131442,125,44.399315
-880.263531,75,44.766004
-1172.426525,105,44.99992
-1206.964308,94,45.326535
-746.512149,57,45.611986
-686.437332,55,45.793035
-1039.922092,84,45.971738
-892.219718,77,46.231042
-724.231557,58,46.466599
-1554.599786,119,46.663728
-1111.741405,89,47.105717
-1119.754635,112,47.405046
-1272.92072,97,47.780508
-1039.558277,99,48.129828
-1527.81359,121,48.5155
-732.254211,60,48.919977
-1160.484947,92,49.117833
-1141.533968,100,49.409075
-1369.443403,104,49.726297
-1079.610173,92,50.04997
-1782.886043,130,50.337947
-1342.348177,107,50.734606
-1311.980195,99,51.101434
-788.570253,67,51.404452
-1292.433905,98,51.616593
-1091.370569,88,51.978512
-816.671598,88,52.295338
-1407.780896,105,52.573434
-813.870751,68,52.922058
-836.750838,75,53.146645
-1216.558931,111,53.389117
-754.143978,61,53.723875
-1405.009083,119,53.930774
-766.608312,66,54.300309
-712.354654,59,54.521477
-758.841224,64,54.702728
-1197.026908,94,54.903034
